tk,spot,dte,K,delta,iv,rv20,rv60,vrp20_pts,vrp60_pts,ratio20,ratio60,mid
F,15.971199989318848,37,14.5,0.22708040159362408,0.44824770507812495,0.3970506425641699,0.5368502573976724,5.119706251395506,-8.86025523195475,1.1289434067738118,0.8349585362051618,0.25
BAC,61.834999084472656,37,58.0,0.21487345480763786,0.26929441650390623,0.2086576748937309,0.2057150005790035,6.063674161017532,6.357941592490274,1.2906039360452835,1.309065531176398,0.6699999999999999
KEY,22.4950008392334,23,22.0,0.367516950841266,0.29395237304687494,0.21782478360671684,0.21965445182984306,7.61275894401581,7.429792121703188,1.3494900267070007,1.3382491026159002,0.35
RF,31.139999389648438,23,30.0,0.3014702389575007,0.3086006640625,0.24539839218741755,0.23541976108250948,6.320227187508243,7.31809029799905,1.2575496575658618,1.310852847031572,0.425
CFG,72.36499786376953,23,70.0,0.3502426147847816,0.39502558105468755,0.30790445106807807,0.26366367261658913,8.712112998660949,13.136190843809842,1.2829485890327286,1.4982176995961083,1.05
HBAN,17.075000762939453,23,16.0,0.23528998242383048,0.38477177734374995,0.2777282957892375,0.27204455419711826,10.704348155451243,11.27272231466317,1.3854251913738944,1.414370445603376,0.15
FITB,57.369998931884766,23,55.0,0.275984452034832,0.301764794921875,0.22990023175567845,0.2611676131368758,7.186456316619657,4.059718178499922,1.3125902162750716,1.1554449316949669,0.6000000000000001
SOFI,14.937000274658203,37,13.5,0.24408449131759302,0.5205126074218749,0.603063018531672,0.5455901676972457,-8.255041110979711,-2.507756027537078,0.8631147847354502,0.9540359013777414,0.4
PYPL,58.51499938964844,37,50.0,0.1619168568281909,0.5493209130859377,0.6172339154896302,0.4593551314588805,-6.791300240369258,8.996578162705715,0.8899720175781015,1.1958523492299562,0.495
MPLX,59.790000915527344,23,55.0,0.12420647784960936,0.2978585839843749,0.1717020610924986,0.17887826033074927,12.615652289187631,11.898032365362566,1.7347408766625918,1.6651469185446504,0.22499999999999998
PLTR,123.7605972290039,37,110.0,0.25963959531386993,0.6931183032226562,0.5503064382511486,0.5727714641386321,14.281186497150767,12.03468390840241,1.2595133457376184,1.210113189324138,5.0
SOUN,5.961900234222412,37,5.0,0.22947864641341176,0.9335944140625,0.5322038600393475,0.6995849914920653,40.13905540231525,23.400942257043468,1.7542045147764926,1.3344974883914285,0.28500000000000003
MRNA,55.01499938964844,37,52.0,0.3648860164769838,0.8298356860351561,0.7528303909425131,0.7609314827740309,7.700529509264298,6.8904203261125225,1.102287707854402,1.090552441081725,4.325
NIO,4.849999904632568,37,4.5,0.320598816639734,0.648441015625,0.4109475298054179,0.5190456337282858,23.749348581958213,12.939538189671417,1.577916810771522,1.2492948085648499,0.24
CHPT,5.315000057220459,23,5.0,0.3359336421714516,0.73437765625,0.6863661469026638,0.9118250369396376,4.801150934733611,-17.744738068963763,1.0699502875600664,0.8053931691926282,0.25
JACK,16.8700008392334,23,15.0,0.28727179795631885,1.1084028955078127,0.8654452611718082,0.9534962746549531,24.29576343360045,15.490662085285955,1.2807313705860972,1.1624616948911692,1.025
DAL,88.19000244140625,37,83.0,0.3348333317651122,0.5661664477539063,0.28364268950953814,0.39231141396434416,28.25237582443682,17.38550337895622,1.9960551380079468,1.4431556860218278,2.65
AAL,15.1899995803833,37,14.5,0.36349809811693545,0.5625043750000001,0.5376119033330177,0.5352023173876221,2.4892471666982385,2.7302057612377917,1.0463019354903738,1.0510125922952689,0.7749999999999999
ALK,47.4463005065918,23,45.0,0.32911225128602095,0.56836369140625,0.45968815170575467,0.5717038401230765,10.867553970049531,-0.334014871682653,1.2364114439261387,0.9941575541698172,1.7000000000000002
AGNC,10.994999885559082,37,10.5,0.2786139847446536,0.26563234375,0.2436152293386617,0.21099929005735954,2.2017114411338303,5.463305369264046,1.0903765929211724,1.2589252962784312,0.16
